36,AMIORG,Healthcare,INE00FF01017,EQ,Ami Organics Ltd.,,,,,,,NIFTY_MICROCAP250,,,,,,,,,NIFTY_TOTALMARKET
37,AMRUTANJAN,Healthcare,INE098F01031,EQ,Amrutanjan Health Care Ltd.,,,,,,,NIFTY_MICROCAP250,,,,,,,,,NIFTY_TOTALMARKET
38,ANANDRATHI,Financial Services,INE463V01026,EQ,Anand Rathi Wealth Ltd.,,,,,,,NIFTY_MICROCAP250,,,,,,,,,NIFTY_TOTALMARKET
39,ANANTRAJ,Realty,INE242C01024,EQ,Anant Raj Ltd.,,,,,,,NIFTY_MICROCAP250,,,,,,,,,NIFTY_TOTALMARKET
40,ANDHRSUGAR,Chemicals,INE715B01021,EQ,Andhra Sugars Ltd.,,,,,,,NIFTY_MICROCAP250,,,,,,,,,NIFTY_TOTALMARKET
41,ANGELONE,Financial Services,INE732I01013,EQ,Angel One Ltd.,,,,NIFTY_500,NIFTY_500MULTICAP502525,,,,,,NIFTY_MIDSMALLCAP400,,NIFTY_SMALLCAP100,NIFTY_SMALLCAP250,NIFTY_SMALLCAP50,NIFTY_TOTALMARKET
42,ANURAS,Chemicals,INE930P01018,EQ,Anupam Rasayan India Ltd.,,,,NIFTY_500,NIFTY_500MULTICAP502525,,,,,,NIFTY_MIDSMALLCAP400,,NIFTY_SMALLCAP100,NIFTY_SMALLCAP250,NIFTY_SMALLCAP50,NIFTY_TOTALMARKET
43,APARINDS,Capital Goods,INE372A01015,EQ,Apar Industries Ltd.,,,,,,,NIFTY_MICROCAP250,,,,,,,,,NIFTY_TOTALMARKET
44,APCOTEXIND,Capital Goods,INE116A01032,EQ,Apcotex Industries Ltd.,,,,,,,NIFTY_MICROCAP250,,,,,,,,,NIFTY_TOTALMARKET
45,APOLLOHOSP,Healthcare,INE437A01024,EQ,Apollo Hospitals Enterprise Ltd.,NIFTY_100,NIFTY_200,NIFTY_50,NIFTY_500,NIFTY_500MULTICAP502525,NIFTY_LARGEMIDCAP250,,,,,,,,,,NIFTY_TOTALMARKET
46,APOLLOPIPE,Capital Goods,INE126J01016,EQ,Apollo Pipes Ltd.,,,,,,,NIFTY_MICROCAP250,,,,,,,,,NIFTY_TOTALMARKET
47,APOLLOTYRE,Automobile and Auto Components,INE438A01022,EQ,Apollo Tyres Ltd.,,NIFTY_200,,NIFTY_500,NIFTY_500MULTICAP502525,NIFTY_LARGEMIDCAP250,,NIFTY_MIDCAP100,NIFTY_MIDCAP150,,NIFTY_MIDSMALLCAP400,,,,,NIFTY_TOTALMARKET
48,APTUS,Financial Services,INE852O01025,EQ,Aptus Value Housing Finance India Ltd.,,,,NIFTY_500,NIFTY_500MULTICAP502525,,,,,,NIFTY_MIDSMALLCAP400,,NIFTY_SMALLCAP100,NIFTY_SMALLCAP250,,NIFTY_TOTALMARKET
49,ARVINDFASN,Consumer Services,INE955V01021,EQ,Arvind Fashions Ltd.,,,,,,,NIFTY_MICROCAP250,,,,,,,,,NIFTY_TOTALMARKET
50,ARVIND,Textiles,INE034A01011,EQ,Arvind Ltd.,,,,,,,NIFTY_MICROCAP250,,,,,,,,,NIFTY_TOTALMARKET
51,ASAHIINDIA,Automobile and Auto Components,INE439A01020,EQ,Asahi India Glass Ltd.,,,,NIFTY_500,NIFTY_500MULTICAP502525,,,,,,NIFTY_MIDSMALLCAP400,,,NIFTY_SMALLCAP250,,NIFTY_TOTALMARKET
