,Company Name,Industry,Symbol,Series,ISIN Code,nifty100,nifty200,nifty500,nifty500Multicap502525,nifty50,niftylargemidcap250,niftymicrocap250,niftymidcap100,niftymidcap150,niftymidcap50,niftymidcapselect,niftymidsmallcap400,niftynext50,niftysmallcap100,niftysmallcap250,niftysmallcap50
67,NTPC Ltd.,Power,NTPC,EQ,INE733E01010,1,1,1,1,1,1,,,,,,,,,,
68,Nestle India Ltd.,Fast Moving Consumer Goods,NESTLEIND,EQ,INE239A01016,1,1,1,1,1,1,,,,,,,,,,
69,Oil & Natural Gas Corporation Ltd.,Oil Gas & Consumable Fuels,ONGC,EQ,INE213A01029,1,1,1,1,1,1,,,,,,,,,,
70,One 97 Communications Ltd.,Financial Services,PAYTM,EQ,INE982J01020,1,1,1,1,,1,,,,,,,1,,,
71,PI Industries Ltd.,Chemicals,PIIND,EQ,INE603J01030,1,1,1,1,,1,,,,,,,1,,,
72,Pidilite Industries Ltd.,Chemicals,PIDILITIND,EQ,INE318A01026,1,1,1,1,,1,,,,,,,1,,,
73,Piramal Enterprises Ltd.,Financial Services,PEL,EQ,INE140A01024,1,1,1,1,,1,,,,,,,1,,,
74,Power Grid Corporation of India Ltd.,Power,POWERGRID,EQ,INE752E01010,1,1,1,1,1,1,,,,,,,,,,
75,Procter & Gamble Hygiene & Health Care Ltd.,Fast Moving Consumer Goods,PGHH,EQ,INE179A01014,1,1,1,1,,1,,,,,,,1,,,
76,Punjab National Bank,Financial Services,PNB,EQ,INE160A01022,1,1,1,1,,1,,,,,,,1,,,
77,Reliance Industries Ltd.,Oil Gas & Consumable Fuels,RELIANCE,EQ,INE002A01018,1,1,1,1,1,1,,,,,,,,,,
78,SBI Cards and Payment Services Ltd.,Financial Services,SBICARD,EQ,INE018E01016,1,1,1,1,,1,,,,,,,1,,,
79,SBI Life Insurance Company Ltd.,Financial Services,SBILIFE,EQ,INE123W01016,1,1,1,1,1,1,,,,,,,,,,
80,SRF Ltd.,Chemicals,SRF,EQ,INE647A01010,1,1,1,1,,1,,,,,,,1,,,
81,Shree Cement Ltd.,Construction Materials,SHREECEM,EQ,INE070A01015,1,1,1,1,1,1,,,,,,,,,,
82,Siemens Ltd.,Capital Goods,SIEMENS,EQ,INE003A01024,1,1,1,1,,1,,,,,,,1,,,
83,State Bank of India,Financial Services,SBIN,EQ,INE062A01020,1,1,1,1,1,1,,,,,,,,,,
84,Steel Authority of India Ltd.,Metals & Mining,SAIL,EQ,INE114A01011,1,1,1,1,,1,,,,,,,1,,,
85,Sun Pharmaceutical Industries Ltd.,Healthcare,SUNPHARMA,EQ,INE044A01036,1,1,1,1,1,1,,,,,,,,,,
86,Tata Consultancy Services Ltd.,Information Technology,TCS,EQ,INE467B01029,1,1,1,1,1,1,,,,,,,,,,
87,Tata Consumer Products Ltd.,Fast Moving Consumer Goods,TATACONSUM,EQ,INE192A01025,1,1,1,1,1,1,,,,,,,,,,
88,Tata Motors Ltd.,Automobile and Auto Components,TATAMOTORS,EQ,INE155A01022,1,1,1,1,1,1,,,,,,,,,,
89,Tata Steel Ltd.,Metals & Mining,TATASTEEL,EQ,INE081A01012,1,1,1,1,1,1,,,,,,,,,,
90,Tech Mahindra Ltd.,Information Technology,TECHM,EQ,INE669C01036,1,1,1,1,1,1,,,,,,,,,,
91,Titan Company Ltd.,Consumer Durables,TITAN,EQ,INE280A01028,1,1,1,1,1,1,,,,,,,,,,
92,Torrent Pharmaceuticals Ltd.,Healthcare,TORNTPHARM,EQ,INE685A01028,1,1,1,1,,1,,,,,,,1,,,
93,UPL Ltd.,Chemicals,UPL,EQ,INE628A01036,1,1,1,1,1,1,,,,,,,,,,
94,UltraTech Cement Ltd.,Construction Materials,ULTRACEMCO,EQ,INE481G01011,1,1,1,1,1,1,,,,,,,,,,
95,United Spirits Ltd.,Fast Moving Consumer Goods,MCDOWELL-N,EQ,INE854D01024,1,1,1,1,,1,,,,,,,1,,,
96,Vedanta Ltd.,Metals & Mining,VEDL,EQ,INE205A01025,1,1,1,1,,1,,,,,,,1,,,
97,Wipro Ltd.,Information Technology,WIPRO,EQ,INE075A01022,1,1,1,1,1,1,,,,,,,,,,
98,Zomato Ltd.,Consumer Services,ZOMATO,EQ,INE758T01015,1,1,1,1,,1,,,,,,,1,,,
99,Zydus Lifesciences Ltd.,Healthcare,ZYDUSLIFE,EQ,INE010B01027,1,1,1,1,,1,,,,,,,1,,,
100,ABB India Ltd.,Capital Goods,ABB,EQ,INE117A01022,,1,1,1,,1,,1,1,1,,1,,,,
101,AU Small Finance Bank Ltd.,Financial Services,AUBANK,EQ,INE949L01017,,1,1,1,,1,,1,1,1,1,1,,,,
102,Abbott India Ltd.,Healthcare,ABBOTINDIA,EQ,INE358A01014,,1,1,1,,1,,1,1,1,,1,,,,
103,Adani Total Gas Ltd.,Oil Gas & Consumable Fuels,ATGL,EQ,INE399L01023,,1,1,1,,1,,1,1,,,1,,,,
104,Aditya Birla Capital Ltd.,Financial Services,ABCAPITAL,EQ,INE674K01013,,1,1,1,,1,,1,1,,,1,,,,
105,Aditya Birla Fashion and Retail Ltd.,Consumer Services,ABFRL,EQ,INE647O01011,,1,1,1,,1,,1,1,,,1,,,,
106,Alembic Pharmaceuticals Ltd.,Healthcare,APLLTD,EQ,INE901L01018,,1,1,1,,1,,1,1,,,1,,,,
107,Alkem Laboratories Ltd.,Healthcare,ALKEM,EQ,INE540L01014,,1,1,1,,1,,1,1,1,,1,,,,
108,Apollo Tyres Ltd.,Automobile and Auto Components,APOLLOTYRE,EQ,INE438A01022,,1,1,1,,1,,1,1,,,1,,,,
109,Ashok Leyland Ltd.,Capital Goods,ASHOKLEY,EQ,INE208A01029,,1,1,1,,1,,1,1,1,1,1,,,,
110,Astral Ltd.,Capital Goods,ASTRAL,EQ,INE006I01046,,1,1,1,,1,,1,1,1,1,1,,,,
111,Aurobindo Pharma Ltd.,Healthcare,AUROPHARMA,EQ,INE406A01037,,1,1,1,,1,,1,1,1,1,1,,,,
112,Balkrishna Industries Ltd.,Automobile and Auto Components,BALKRISIND,EQ,INE787D01026,,1,1,1,,1,,1,1,1,1,1,,,,
113,Bank of India,Financial Services,BANKINDIA,EQ,INE084A01016,,1,1,1,,1,,1,1,,,1,,,,
114,Bata India Ltd.,Consumer Durables,BATAINDIA,EQ,INE176A01028,,1,1,1,,1,,1,1,1,,1,,,,
115,Bharat Electronics Ltd.,Capital Goods,BEL,EQ,INE263A01024,,1,1,1,,1,,1,1,1,1,1,,,,
116,Bharat Forge Ltd.,Capital Goods,BHARATFORG,EQ,INE465A01025,,1,1,1,,1,,1,1,1,1,1,,,,
117,Bharat Heavy Electricals Ltd.,Capital Goods,BHEL,EQ,INE257A01026,,1,1,1,,1,,1,1,1,,1,,,,
118,Canara Bank,Financial Services,CANBK,EQ,INE476A01014,,1,1,1,,1,,1,1,1,,1,,,,
119,Clean Science and Technology Ltd.,Chemicals,CLEAN,EQ,INE227W01023,,1,1,1,,1,,1,1,,,1,,,,
120,Coforge Ltd.,Information Technology,COFORGE,EQ,INE591G01017,,1,1,1,,1,,1,1,1,,1,,,,
121,Container Corporation of India Ltd.,Services,CONCOR,EQ,INE111A01025,,1,1,1,,1,,1,1,1,1,1,,,,
122,Coromandel International Ltd.,Chemicals,COROMANDEL,EQ,INE169A01031,,1,1,1,,1,,1,1,,,1,,,,
123,Crompton Greaves Consumer Electricals Ltd.,Consumer Durables,CROMPTON,EQ,INE299U01018,,1,1,1,,1,,1,1,,,1,,,,
124,Cummins India Ltd.,Capital Goods,CUMMINSIND,EQ,INE298A01020,,1,1,1,,1,,1,1,1,,1,,,,
125,Dalmia Bharat Ltd.,Construction Materials,DALBHARAT,EQ,INE00R701025,,1,1,1,,1,,1,1,,,1,,,,
126,Deepak Nitrite Ltd.,Chemicals,DEEPAKNTR,EQ,INE288B01029,,1,1,1,,1,,1,1,,,1,,,,
127,Dixon Technologies (India) Ltd.,Consumer Durables,DIXON,EQ,INE935N01020,,1,1,1,,1,,1,1,,1,1,,,,
128,Dr. Lal Path Labs Ltd.,Healthcare,LALPATHLAB,EQ,INE600L01024,,1,1,1,,1,,1,1,,,1,,,,
129,Emami Ltd.,Fast Moving Consumer Goods,EMAMILTD,EQ,INE548C01032,,1,1,1,,1,,1,1,,,1,,,,
130,Escorts Kubota Ltd.,Capital Goods,ESCORTS,EQ,INE042A01014,,1,1,1,,1,,1,1,1,,1,,,,
131,Exide Industries Ltd.,Automobile and Auto Components,EXIDEIND,EQ,INE302A01020,,1,1,1,,1,,1,1,,,1,,,,
132,Federal Bank Ltd.,Financial Services,FEDERALBNK,EQ,INE171A01029,,1,1,1,,1,,1,1,1,,1,,,,
133,Fortis Healthcare Ltd.,Healthcare,FORTIS,EQ,INE061F01013,,1,1,1,,1,,1,1,,,1,,,,
134,Glenmark Pharmaceuticals Ltd.,Healthcare,GLENMARK,EQ,INE935A01035,,1,1,1,,1,,1,1,,,1,,,,
135,Godrej Properties Ltd.,Realty,GODREJPROP,EQ,INE484J01027,,1,1,1,,1,,1,1,1,1,1,,,,
136,Gujarat Gas Ltd.,Oil Gas & Consumable Fuels,GUJGASLTD,EQ,INE844O01030,,1,1,1,,1,,1,1,1,,1,,,,
137,Gujarat State Petronet Ltd.,Oil Gas & Consumable Fuels,GSPL,EQ,INE246F01010,,1,1,1,,1,,1,1,,,1,,,,
138,Hindustan Aeronautics Ltd.,Capital Goods,HAL,EQ,INE066F01012,,1,1,1,,1,,1,1,1,,1,,,,
139,Hindustan Petroleum Corporation Ltd.,Oil Gas & Consumable Fuels,HINDPETRO,EQ,INE094A01015,,1,1,1,,1,,1,1,1,1,1,,,,
140,Hindustan Zinc Ltd.,Metals & Mining,HINDZINC,EQ,INE267A01025,,1,1,1,,1,,1,1,,,1,,,,
141,Honeywell Automation India Ltd.,Capital Goods,HONAUT,EQ,INE671A01010,,1,1,1,,1,,1,1,1,,1,,,,
142,ICICI Securities Ltd.,Financial Services,ISEC,EQ,INE763G01038,,1,1,1,,1,,1,1,,,1,,,,
143,IDBI Bank Ltd.,Financial Services,IDBI,EQ,INE008A01015,,1,1,1,,1,,1,1,,,1,,,,
144,IDFC First Bank Ltd.,Financial Services,IDFCFIRSTB,EQ,INE092T01019,,1,1,1,,1,,1,1,1,1,1,,,,
145,Indiamart Intermesh Ltd.,Consumer Services,INDIAMART,EQ,INE933S01016,,1,1,1,,1,,1,1,,,1,,,,
146,Indian Bank,Financial Services,INDIANB,EQ,INE562A01011,,1,1,1,,1,,1,1,,,1,,,,
147,Indian Energy Exchange Ltd.,Financial Services,IEX,EQ,INE022Q01020,,1,1,1,,1,,1,1,,,1,,,,
148,Indian Hotels Co. Ltd.,Consumer Services,INDHOTEL,EQ,INE053A01029,,1,1,1,,1,,1,1,,,1,,,,
149,Indian Railway Catering And Tourism Corporation Ltd.,Consumer Services,IRCTC,EQ,INE335Y01020,,1,1,1,,1,,1,1,1,1,1,,,,
150,Indraprastha Gas Ltd.,Oil Gas & Consumable Fuels,IGL,EQ,INE203G01027,,1,1,1,,1,,1,1,,,1,,,,
151,Ipca Laboratories Ltd.,Healthcare,IPCALAB,EQ,INE571A01038,,1,1,1,,1,,1,1,,,1,,,,
152,JSW Energy Ltd.,Power,JSWENERGY,EQ,INE121E01018,,1,1,1,,1,,1,1,,,1,,,,
153,Jindal Steel & Power Ltd.,Metals & Mining,JINDALSTEL,EQ,INE749A01030,,1,1,1,,1,,1,1,1,,1,,,,
154,L&T Finance Holdings Ltd.,Financial Services,L&TFH,EQ,INE498L01015,,1,1,1,,1,,1,1,1,,1,,,,
155,L&T Technology Services Ltd.,Information Technology,LTTS,EQ,INE010V01017,,1,1,1,,1,,1,1,1,1,1,,,,
156,LIC Housing Finance Ltd.,Financial Services,LICHSGFIN,EQ,INE115A01026,,1,1,1,,1,,1,1,1,,1,,,,
157,Laurus Labs Ltd.,Healthcare,LAURUSLABS,EQ,INE947Q01028,,1,1,1,,1,,1,1,,1,1,,,,
158,MRF Ltd.,Automobile and Auto Components,MRF,EQ,INE883A01011,,1,1,1,,1,,1,1,1,1,1,,,,
159,Mahindra & Mahindra Financial Services Ltd.,Financial Services,M&MFIN,EQ,INE774D01024,,1,1,1,,1,,1,1,1,,1,,,,
160,Manappuram Finance Ltd.,Financial Services,MANAPPURAM,EQ,INE522D01027,,1,1,1,,1,,1,1,,,1,,,,
161,Max Financial Services Ltd.,Financial Services,MFSL,EQ,INE180A01020,,1,1,1,,1,,1,1,1,,1,,,,
162,Max Healthcare Institute Ltd.,Healthcare,MAXHEALTH,EQ,INE027H01010,,1,1,1,,1,,1,1,,,1,,,,
163,Metropolis Healthcare Ltd.,Healthcare,METROPOLIS,EQ,INE112L01020,,1,1,1,,1,,1,1,,,1,,,,
164,MphasiS Ltd.,Information Technology,MPHASIS,EQ,INE356A01018,,1,1,1,,1,,1,1,1,1,1,,,,
